canonical_name,blended_rating,n_sources,sp_overall,sp_offense,sp_defense,sp_st,sagarin_rating,sagarin_predictor,massey_rating,z_sp,z_sag,z_mas,z_blended
Ohio State,30.1,1,30.1,37.6,7.7,0.2,NA,NA,NA,2.219717906445954,NA,NA,2.219717906445954
Indiana,29.264329960455132,2,32.4,40.8,9.9,1.5,NA,NA,137,2.3943712275505344,NA,1.5609829005804257,2.156260276987646
Texas Tech,24.958421325924846,2,27.6,39.3,12.3,0.6,NA,NA,128,2.0298773400279315,NA,1.3278070316140551,1.8292858233382527
Oregon,24.426508994051574,2,25.9,38.7,13.5,0.7,NA,NA,135,1.9007857548636757,NA,1.509166040810121,1.7888944079912314
Notre Dame,23.452562334396212,2,24.4,40,16.3,0.8,NA,NA,136,1.7868814150128622,NA,1.5350744706952735,1.7149365737792654
Georgia,23.043312796564084,2,24.1,37,14.8,1.9,NA,NA,134,1.7641005470426996,NA,1.4832576109249689,1.6838597081519193
Ole Miss,22.87440231336231,2,24,40.4,18.3,1.9,NA,NA,133,1.7565069243859788,NA,1.4573491810398165,1.6710332834299326
Utah,20.90631464523557,2,22.2,39.7,17.5,0,NA,NA,126,1.6198217165650024,NA,1.2759901718437505,1.5215841323589305
Miami,20.12733180912662,2,20.7,34.2,14.3,0.8,NA,NA,129,1.505917376714189,NA,1.3537154614992073,1.4624311152241942
Texas A&M,19.347476514940965,2,20.7,38,16.4,-1,NA,NA,121,1.505917376714189,NA,1.1464480224179892,1.4032118469152748
Iowa,18.828154624201662,2,19.7,32.1,14.2,1.7,NA,NA,123,1.4299811501469797,NA,1.1982648821882937,1.3637765021587838
Vanderbilt,18.28190693504102,2,20.3,39.9,21.4,1.8,NA,NA,113,1.4755428860873052,NA,0.9391805833367707,1.3222965138728668
Penn State,18.1,1,18.1,35.1,18.8,1.8,NA,NA,NA,1.3084831876394454,NA,NA,1.3084831876394454
Washington,17.997065107403444,2,18.4,34.5,15.3,-0.9,NA,NA,124,1.331264055609608,NA,1.224173312073446,1.300666700313562
Oklahoma,17.730672712428458,2,18.3,30.1,12.9,1.1,NA,NA,122,1.3236704329528872,NA,1.1723564523031413,1.28043786705296
USC,17.023118447748075,2,16.9,38.9,21,-1,NA,NA,125,1.2173597157587943,NA,1.2500817419585981,1.2267088661015955
Texas,17.010528006614113,2,16.2,32.9,17.9,1.2,NA,NA,130,1.1642043571617482,NA,1.3796238913843597,1.2257527955110659
Alabama,16.20549183016053,2,14.8,32.2,16.1,-1.3,NA,NA,132,1.0578936399676555,NA,1.4314407511546643,1.1646213860210866
BYU,15.723941262823121,2,15.9,33.9,18.8,0.8,NA,NA,119,1.1414234891915853,NA,1.0946311626476846,1.1280542530361852
Tennessee,15.178566031739184,2,15,39.3,25.4,1.1,NA,NA,120,1.0730808852810974,NA,1.1205395925328367,1.0866405159244514
Missouri,14.55503077962134,2,14.4,31.2,15.4,-1.4,NA,NA,118,1.0275191493407718,NA,1.0687227327625322,1.039291601746989
Michigan,14.003796557008776,2,12.4,30.9,17,-1.4,NA,NA,127,0.8756466962063537,NA,1.3018986017289027,0.9974329549270821
SMU,13.4508174182428,2,13.4,34.2,19.5,-1.2,NA,NA,114,0.9515829227735628,NA,0.965089013221923,0.9554418057588087
Louisville,13.028977439276705,2,12.4,31.6,19.8,0.6,NA,NA,117,0.8756466962063537,NA,1.04281430287738,0.9234088695409327
Illinois,12.606265002233904,2,12.9,33.3,21.7,1.3,NA,NA,109,0.9136148094899582,NA,0.8355468637961615,0.8913096821488735
Arizona,11.865925947603557,2,12,33,19.5,-1.5,NA,NA,108,0.8452722055794702,NA,0.8096384339110092,0.83509112795991
Auburn,11.48272975011606,2,11.6,28.3,17.4,0.7,NA,NA,107,0.8148977149525864,NA,0.7837300040258569,0.8059926546878066
LSU,11.4314955275035,2,10.3,25.8,16.1,0.7,NA,NA,116,0.7161806204152149,NA,1.0169058729922276,0.8021021211515043
Clemson,10.470139308982098,2,9.5,27.5,18.9,0.8,NA,NA,112,0.6554316391614476,NA,0.9132721534516184,0.7291003575300679
James Madison,10.423019161744747,2,12.3,34.9,21.4,-1.1,NA,NA,91,0.868053073549633,NA,0.3691951258634202,0.7255222313535722
Virginia,9.955803951694719,2,11.1,28.8,18.1,0.5,NA,NA,95,0.776929601668982,NA,0.47282884540402936,0.6900436713075669
North Texas,9.934737144802003,2,13.8,43.1,28.6,-0.7,NA,NA,75,0.9819574134004465,NA,-0.04533975229901652,0.6884439374863142
Iowa State,9.899999999999999,1,9.9,28.1,19.5,1.3,NA,NA,NA,0.6858061297883311,NA,NA,0.6858061297883311
TCU,9.515514540066036,2,8.3,32.9,23.9,-0.7,NA,NA,111,0.5643081672807968,NA,0.8873637235664661,0.656609754790988
Georgia Tech,9.25498113661968,2,9.3,32.5,24.9,1.7,NA,NA,101,0.6402443938480059,NA,0.6282794247149431,0.6368258312385595
South Florida,8.558272396919847,2,11.6,37.7,25.3,-0.8,NA,NA,77,0.8148977149525864,NA,0.006477107471288074,0.5839203985293583
Pittsburgh,8.222196346669705,2,8.4,31.6,23.5,0.4,NA,NA,97,0.5719017899375176,NA,0.524645705174334,0.5584000514337508
South Carolina,7.313819266914285,2,5.9,24.6,20.2,1.5,NA,NA,106,0.38206122351949506,NA,0.7578215741407046,0.48942132369698355
Florida State,7.2,1,7.2,29.3,21.2,-0.8,NA,NA,NA,0.48077831805686677,NA,NA,0.48077831805686677
Houston,7.020501073517956,2,7.4,31.5,23,-1.1,NA,NA,92,0.4959655633703086,NA,0.3951035557485725,0.46714784690695543
Kansas State,7,1,7,31.3,25,0.7,NA,NA,NA,0.465591072743425,NA,NA,0.465591072743425
Nebraska,6.943213510560756,2,6.2,28.8,22.7,0.1,NA,NA,100,0.4048420914896578,NA,0.6023709948297908,0.4612789210154101
Duke,6.839000149182212,2,6.6,34.8,29.2,1.1,NA,NA,96,0.43521658211654135,NA,0.49873727528918166,0.4533653515944386
San Diego State,6.7,1,6.7,24.4,19.6,1.8,NA,NA,NA,0.4428102047732623,NA,NA,0.4428102047732623
Arkansas,6.060017313073262,2,5.1,35.8,31.4,0.8,NA,NA,99,0.32131224226572774,NA,0.5764625649446385,0.3942123344597023
